201,ADAMS V. R.,Adams,V. R.
202,BLACKMORE W. C.,Blackmore,W. C.
203,CANNON W. J.,Cannon,W. J.
204,CORKER A. V.,Corker,A. V.
205,DODDS F.,Dodds,F.
206,AIKEN E.,Aiken,E.
207,BLACKSTONE J. F.,Blackstone,J. F.
208,CANSDELL C. N.,Cansdell,C. N.
209,CORMACK O. R.,Cormack,O. R.
210,DOOREY M.,Doorey,M.
211,AIRD I. Mc.D.,Aird,I. Mc.D.
212,BLOWER W. E.,Blower,W. E.
213,CARMODY J.,Carmody,J.
214,CORNISH C. S.,Cornish,C. S.
215,DORAN A.,Doran,A.
216,AKERS F. W.,Akers,F. W.
217,BOLTON A. F.,Bolton,A. F.
218,CARNEY H. J.,Carney,H. J.
219,COSGROVE H. M.,Cosgrove,H. M.
220,DORAN B.,Doran,B.
221,ALCOCK H. F.,Alcock,H. F.
222,BONO D. J.,Bono,D. J.
223,CARR C.,Carr,C.
224,COTTAM F.,Cottam,F.
225,DORAN J. H.,Doran,J. H.
226,ALDERSON F. J.,Alderson,F. J.
227,BOONE L. J.,Boone,L. J.
228,CARROLL A. I.,Carroll,A. I.
229,COUSINS E. G.,Cousins,E. G.
230,DOULL D. F.,Doull,D. F.
231,ALDERSON J. D.,Alderson,J. D.
232,BOOT L. V.,Boot,L. V.
233,CARROLL S. H.,Carroll,S. H.
234,COWANO F. M.,Cowano,F. M.
235,DOYLE H. E. A.,Doyle,H. E. A.
236,ALLDRITTÂ  N. D.,Alldritt,N. D.
237,BOURNE F. E.,Bourne,F. E.
238,CARROLL W. B.,Carroll,W. B.
239,CRABBE A. R.,Crabbe,A. R.
240,DOYLE J. V.,Doyle,J. V.
241,ALLDRITT R. G.,Alldritt,R. G.
242,BOURNE H. A.,Bourne,H. A.
243,CARRUTHERS B. M.,Carruthers,B. M.
244,CRANE A. S.,Crane,A. S.
245,DUCK N.,Duck,N.
246,ALLEN J. H.,Allen,J. H.
247,BOWERS W. H.,Bowers,W. H.
248,CARTER T. G.,Carter,T. G.
249,CRANE P. R.,Crane,P. R.
250,DUNLOP C. V.,Dunlop,C. V.
251,ALLEN J. W.,Allen,J. W.
252,BOWMAN J.,Bowman,J.
253,CARVER B. W. B.,Carver,B. W. B.
254,CRANE W. J.,Crane,W. J.
255,DUNN W. F.,Dunn,W. F.
256,ALLEN W. H.,Allen,W. H.
257,BOYDEN F. A. S.,Boyden,F. A. S.
258,CARVER D. B.,Carver,D. B.
259,CRAWCOUR R.,Crawcour,R.
260,DUNSTAN F. G.,Dunstan,F. G.
261,ALLERTON J. P.,Allerton,J. P.
262,BOYDEN N. L.,Boyden,N. L.
263,CARVER S. D.,Carver,S. D.
264,CREW E. J.,Crew,E. J.
265,DUVAL F. W.,Duval,F. W.
266,ALLPORT J. M.,Allport,J. M.
267,BOYDEN P. M.,Boyden,P. M.
268,CASHMORE J. R.,Cashmore,J. R.
269,CREW G. J.,Crew,G. J.
270,DWYER R. P.,Dwyer,R. P.
271,ALLPORT R. D.,Allport,R. D.
272,BOYDEN R. H.,Boyden,R. H.
273,CASPER R. M.,Casper,R. M.
274,CROSS B.,Cross,B.
275,EARNSHAW A. S. E.,Earnshaw,A. S. E.
276,ALLSOP W. J. A.,Allsop,W. J. A.
277,BRADRIDGE R. C.,Bradridge,R. C.
278,CASSON R. O.,Casson,R. O.
279,CROSS J.,Cross,J.
280,EAST C. J. W.,East,C. J. W.
281,ALLRICH F. N.,Allrich,F. N.
282,BRADY G. A. P.,Brady,G. A. P.
283,CASSON T. G.,Casson,T. G.
284,CROWE R. J.,Crowe,R. J.
285,EDWARDS R. L.,Edwards,R. L.
286,ANDREW A. J. F.,Andrew,A. J. F.
287,BRADY S. H.,Brady,S. H.
288,CAVANAGH H. W.,Cavanagh,H. W.
289,CULLEN E. A.,Cullen,E. A.
290,EIPPER G. J.,Eipper,G. J.
291,ARCHER E. R.,Archer,E. R.
292,BREARS N. F.,Brears,N. F.
293,CHAPLIN H. N.,Chaplin,H. N.
294,CULLEN H. C.,Cullen,H. C.
295,ELAND C. B.,Eland,C. B.
296,ARMITAGE C. H.,Armitage,C. H.
297,BRIGHT G. A.,Bright,G. A.
298,CHAPLIN M. L. (NSE),Chaplin,M. L. (NSE)
299,CULLEN W. G.,Cullen,W. G.
300,ELDRIDGE J. C.,Eldridge,J. C.
301,ARMSTRONG H. E.,Armstrong,H. E.
302,BROADBENT A. C. V.,Broadbent,A. C. V.
303,CHAPLIN M. S. (NSE),Chaplin,M. S. (NSE)
304,CULLEN W. H.,Cullen,W. H.
305,ELLIOT C.,Elliot,C.
306,ARNOTT F.,Arnott,F.
307,BROADBENT G. A.,Broadbent,G. A.
308,CHAPMAN N. F.,Chapman,N. F.
309,CUNNINGHAM C.,Cunningham,C.
310,ELLIOTT L. R. D.,Elliott,L. R. D.
311,ARTHUR B. M.,Arthur,B. M.
312,BROADBENT H. J.,Broadbent,H. J.
313,CHARET B. F.,Charet,B. F.
314,CUNNINGHAM T.,Cunningham,T.
315,ELLISON H. H. N.,Ellison,H. H. N.
316,ARTHUR G. D.,Arthur,G. D.
317,BRODIE R. L.,Brodie,R. L.
318,CHICK E.,Chick,E.
319,CURTIS R. K.,Curtis,R. K.
320,ELMINGTON T. S.,Elmington,T. S.
321,ASHDOWN C.,Ashdown,C.
322,BROOKS H. R.,Brooks,H. R.
323,CHIDZEY J.,Chidzey,J.
324,DALRYMPLE F. S.,Dalrymple,F. S.
325,EMMETT R. R.,Emmett,R. R.
326,ASHDOWN E. E.,Ashdown,E. E.
327,BROTHERS W. H.,Brothers,W. H.
328,CHRISTIE W. J.,Christie,W. J.
329,DALZIEL V. C.,Dalziel,V. C.
330,EPPS A. M.,Epps,A. M.
331,ASHDOWN M. (NSE),Ashdown,M. (NSE)
332,BROWN A. L.,Brown,A. L.
333,CHRYSTAL A. R.,Chrystal,A. R.
334,DARGIN H. J.,Dargin,H. J.
335,ERSKINE W.,Erskine,W.
336,ASIOLI L.,Asioli,L.
337,BROWN J. W.,Brown,J. W.
338,CHRYSTAL L. O.,Chrystal,L. O.
339,DARGIN R. A.,Dargin,R. A.
340,ETHERINGTON R. A.,Etherington,R. A.
341,ATHERTON J. J.,Atherton,J. J.
342,BROWN O. B.,Brown,O. B.
343,CICHERO D. A.,Cichero,D. A.
344,DAUNT G. F.,Daunt,G. F.
345,ETHERINGTON W. E.,Etherington,W. E.
346,AUDSLEY N. W.,Audsley,N. W.
347,BROWN R. H.,Brown,R. H.
348,CLARE C. A.,Clare,C. A.
349,DAVIDSON C. F. J.,Davidson,C. F. J.
350,EVANS A. L.,Evans,A. L.
351,AUSTIN A. H.,Austin,A. H.
352,BROWNE A. E.,Browne,A. E.
353,CLARK E. D.,Clark,E. D.
354,DAVIDSON R.,Davidson,R.
355,EVANS A. P.,Evans,A. P.
356,AVERILL C. E.,Averill,C. E.
357,BROWNE G. P.,Browne,G. P.
358,CLARK H.,Clark,H.
359,DAVIS C. V.,Davis,C. V.
360,EVANS G. W. J.,Evans,G. W. J.
361,AXTENS J. W.,Axtens,J. W.
362,BROWNLOW H. E.,Brownlow,H. E.
363,CLARK J. W.,Clark,J. W.
364,DAVIS F. L.,Davis,F. L.
365,EVANS P. A.,Evans,P. A.
366,AXTENS N. R.,Axtens,N. R.
367,BRUCE R. C.,Bruce,R. C.
368,CLARK W. J.,Clark,W. J.
369,DAVIS G. R.,Davis,G. R.
370,EWART C. B.,Ewart,C. B.
371,AYERS D. S.,Ayers,D. S.
372,BUCKLE A. R.,Buckle,A. R.
373,CLARKE A. L.,Clarke,A. L.
374,DAVIS S. F.,Davis,S. F.
375,EWART J. W. C.,Ewart,J. W. C.
376,BALDWIN J.,Baldwin,J.
377,BUCKMAN A.,Buckman,A.
378,CLARKE J. J.,Clarke,J. J.
379,DAVIS T. G.,Davis,T. G.
380,FAWCETT L. D.,Fawcett,L. D.
381,BALL W. S.,Ball,W. S.
382,BULL E. A.,Bull,E. A.
383,CLARKE N.,Clarke,N.
384,DAVIS T. S. R.,Davis,T. S. R.
385,FAYLE D. H.,Fayle,D. H.
386,BALZEN L. E.,Balzen,L. E.
387,BULL N. H.,Bull,N. H.
388,CLARKE W. M.,Clarke,W. M.
389,DAVISON H.,Davison,H.
390,FARQUHAR A. G. C. (NSE),Farquhar,A. G. C. (NSE)
391,BARBER C.,Barber,C.
392,BULLOUGH K. J.,Bullough,K. J.
393,CLELAND V. A.,Cleland,V. A.
394,DAWSON L. E.,Dawson,L. E.
395,FARQUHAR F. J.,Farquhar,F. J.
396,BARKER D. G.,Barker,D. G.
397,BURKITT H. W.,Burkitt,H. W.
398,CLELAND S. C.,Cleland,S. C.
399,DECENT L. S.,Decent,L. S.
400,FARQUHAR J. R.,Farquhar,J. R.
401,BARNES A. E.,Barnes,A. E.
402,BURNS A. G. Mc L.,Burns,A. G. Mc L.
403,CLEVERLY A. R.,Cleverly,A. R.
404,DEDDEN H.,Dedden,H.
405,FARQUHAR N. R. C.,Farquhar,N. R. C.
406,BARRY A. DS.,Barry,A. DS.
407,BURMAN S. J.,Burman,S. J.
408,CLIFFORD J.,Clifford,J.
409,DEGOTARDI F. D.,Degotardi,F. D.
410,FELLOWES H. J.,Fellowes,H. J.
411,BARRY L. N.,Barry,L. N.
412,BURROWS S. D.,Burrows,S. D.
413,CLOUGH H. L.,Clough,H. L.
414,DENDY C.,Dendy,C.
415,FELSTEAD W. H.,Felstead,W. H.
416,BARTHOLOMEW A. H.,Bartholomew,A. H.
417,BURT J. H.,Burt,J. H.
418,COCKBURN C. K. (NSE),Cockburn,C. K. (NSE)
419,DENNESS E.,Denness,E.
420,FERGUSON A. D.,Ferguson,A. D.
421,BARTLETT D. J.,Bartlett,D. J.
422,BUTTLE A.,Buttle,A.
423,COHEN D.,Cohen,D.
424,DENT A. H.,Dent,A. H.
425,FERGUSON C. H.,Ferguson,C. H.
426,BASS M. M. C. (NSE),Bass,M. M. C. (NSE)
427,BUTTON T. A.,Button,T. A.
428,COLE L. G.,Cole,L. G.
429,DENT A. W.,Dent,A. W.
430,FERGUSON G. A.,Ferguson,G. A.
431,BASS S. F.,Bass,S. F.
432,BYRNE G. R.,Byrne,G. R.
433,COLEMAN R. E.,Coleman,R. E.
434,DESBOIS D. R.,Desbois,D. R.
435,FERGUSON J. W.,Ferguson,J. W.
436,BATTEN C. V.,Batten,C. V.
437,BYRNE L.,Byrne,L.
438,COLEY C. L. J.,Coley,C. L. J.
439,DESBOROUGH G. J.,Desborough,G. J.
440,FERGUSON W. A.,Ferguson,W. A.
441,BAYLEY R.,Bayley,R.
442,CAINS A. W.,Cains,A. W.
443,COLLIN S. A.,Collin,S. A.
444,DESBOROUGH STM. W.,Desborough,STM. W.
445,FERNANDEZ E. C.,Fernandez,E. C.
446,BECKETT L. A. V.,Beckett,L. A. V.
447,CALDWELL A. E.,Caldwell,A. E.
448,COLLINS J. W.,Collins,J. W.
449,DEWAR G. S. C.,Dewar,G. S. C.
450,FERRIS C. E.,Ferris,C. E.
451,BECKHAUS T.,Beckhaus,T.
452,CALLAGHAN P.,Callaghan,P.
453,COOK A. G.,Cook,A. G.
454,DEWHURST S.,Dewhurst,S.
455,FILBY S. F.,Filby,S. F.
456,BEESON A. W.,Beeson,A. W.
457,CALLER F. C.,Caller,F. C.
458,COOK B. G.,Cook,B. G.
459,DEWHURST V.,Dewhurst,V.
460,FINCHAM W. R.,Fincham,W. R.
461,BEGG A.,Begg,A.
462,CALLER J. A.,Caller,J. A.
463,COOK B. R.,Cook,B. R.
464,DIBBS E. R.,Dibbs,E. R.
465,FIREMAN C. W.,Fireman,C. W.
466,BELL S. H.,Bell,S. H.
467,CALLINGHAM G.,Callingham,G.
468,COOK F. W.,Cook,F. W.
469,DIBBS V. L.,Dibbs,V. L.
470,FITZGERALD R. M. (NSE),Fitzgerald,R. M. (NSE)
471,BENNETT L. C.,Bennett,L. C.
472,CAMBACE A. S.,Cambace,A. S.
473,COOK N. H.,Cook,N. H.
474,DIND S. S.,Dind,S. S.
475,FLEMING L. D. (NSE),Fleming,L. D. (NSE)
476,BENNETTS A. V.,Bennetts,A. V.
477,CAMERON A. R.,Cameron,A. R.
478,COOKE G. H.,Cooke,G. H.
479,DINGLE F. C.,Dingle,F. C.
480,FLETCHER J.,Fletcher,J.
481,BERRY G. H. M.,Berry,G. H. M.
482,CAMERON G. G.,Cameron,G. G.
483,COOKE F. R.,Cooke,F. R.
484,DINGLE S. E.,Dingle,S. E.
485,FLETCHER H. B.,Fletcher,H. B.
486,BEST R. W.,Best,R. W.
487,CAMERON H. K.,Cameron,H. K.
488,COOKE R. C.,Cooke,R. C.
489,DINNING L. L.,Dinning,L. L.
490,FLETCHER M. B. (NSE),Fletcher,M. B. (NSE)
491,BETTS S. F.,Betts,S. F.
492,CAMERON T. D.,Cameron,T. D.
493,COONEY F.,Cooney,F.
494,DOAK A. F. W.,Doak,A. F. W.
495,FLYNN F. C.,Flynn,F. C.
496,BINDON R. C.,Bindon,R. C.
497,CAMPBELL D.,Campbell,D.
498,COOPER A. L.,Cooper,A. L.
499,DOAK F. W.,Doak,F. W.
500,FLYNN J. P.,Flynn,J. P.
501,BLACKLOW A. C.,Blacklow,A. C.
502,CAMPBELL G. Mc. I.,Campbell,G. Mc. I.
503,COOPER B. H.,Cooper,B. H.
504,DOAK J. S. B.,Doak,J. S. B.
505,FLYNN J. S. P.,Flynn,J. S. P.
506,BLACKLOW J.,Blacklow,J.
507,CAMBELL G.,Cambell,G.
508,COOPER C. J.,Cooper,C. J.
509,DOBIE J.,Dobie,J.
510,FORD A. R.,Ford,A. R.
511,BLACKMORE E. F.,Blackmore,E. F.
512,CAMPLIN C. J.,Camplin,C. J.
513,COOPER N. H.,Cooper,N. H.
514,DOBINSON A. W. R.,Dobinson,A. W. R.
515,FORD C. W.,Ford,C. W.
516,FORD E. H. J.,Ford,E. H. J.
517,HARRIS W. D.,Harris,W. D.
518,HUTCHINSON E. L.,Hutchinson,E. L.
519,KNEEBONE E. J.,Kneebone,E. J.
520,Mc.NABB A. S.,Mc.Nabb,A. S.
521,FORD R. P.,Ford,R. P.
522,HARRISON F.,Harrison,F.
523,HUTCHINSON T. A.,Hutchinson,T. A.
524,KNOTT A.,Knott,A.
525,MADDEN L. B.,Madden,L. B.
526,FORTH C. F. O.,Forth,C. F. O.
527,HARRISON C. L. W.,Harrison,C. L. W.
528,INGHAM A. E.,Ingham,A. E.
529,LANE E. F.,Lane,E. F.
530,MADGWICK J. W.,Madgwick,J. W.
531,FOWLER W. C.,Fowler,W. C.
532,HARRISON J. L.,Harrison,J. L.
533,INGHHAM R. F.,Inghham,R. F.
534,LANE E. R.,Lane,E. R.
535,MAKEIG J. H.,Makeig,J. H.
536,FOX A. G.,Fox,A. G.
537,HARRISON L. R.,Harrison,L. R.
538,IRELAND C. P. H.,Ireland,C. P. H.
539,LANE H. W.,Lane,H. W.
540,MALLEY G. F.,Malley,G. F.
541,FOX H. F.,Fox,H. F.
542,HARRISON W. J.,Harrison,W. J.
543,IRVINE F. L.,Irvine,F. L.
544,LANG A.,Lang,A.
545,MALLEY R. N.,Malley,R. N.
546,FOX N. R.,Fox,N. R.
547,HART F. H.,Hart,F. H.
548,JACKSON C. O. B.,Jackson,C. O. B.
549,LANG M. S.,Lang,M. S.
550,MANSFIELD C.,Mansfield,C.
551,FRANCIS W. G.,Francis,W. G.
552,HARVEY S. W. M.,Harvey,S. W. M.
553,JACOB H. T.,Jacob,H. T.
554,LANGFORD N. H.,Langford,N. H.
555,MARCHANT N. B.,Marchant,N. B.
556,FRANKS C. K.,Franks,C. K.
557,HAY N. M.,Hay,N. M.
558,JACOB N. F.,Jacob,N. F.
559,LEAVER T.,Leaver,T.
560,MARSDEN W. J.,Marsden,W. J.
561,FRASER E. L.,Fraser,E. L.
562,HAYES F. N.,Hayes,F. N.
563,JACOB L. H.,Jacob,L. H.
564,LEECH L. V.,Leech,L. V.
565,MARLOW R. E.,Marlow,R. E.
566,FRAZER P.,Frazer,P.
567,HAYNE S.,Hayne,S.
568,JAMES A. W.,James,A. W.
569,LEESON W. M.,Leeson,W. M.
570,MARSHALL W. H.,Marshall,W. H.
571,FREEMAN G. K.,Freeman,G. K.
572,HAYMET F. I.,Haymet,F. I.
573,JARMAN J. R.,Jarman,J. R.
574,LEVY C. J.,Levy,C. J.
575,MARTIN J. W.,Martin,J. W.
576,FREEMAN H.,Freeman,H.
577,HAYMET R. E.,Haymet,R. E.
578,JARMAN W.,Jarman,W.
579,LEVY C. I.,Levy,C. I.
580,MASON H. E.,Mason,H. E.
581,FRENCH H. P.,French,H. P.
582,HEAPHEY G. A.,Heaphey,G. A.
583,JARVIS C. R.,Jarvis,C. R.
584,LEWIS W. D.,Lewis,W. D.
585,MASSEY N.,Massey,N.
586,FRY R. A.,Fry,R. A.
587,HEARD W. L.,Heard,W. L.
588,JARVIS N. H.,Jarvis,N. H.
589,LINDSAY C. H.,Lindsay,C. H.
590,MASTERS H. B.,Masters,H. B.
591,FULLER C. R.,Fuller,C. R.
592,HEAYDON W. E.,Heaydon,W. E.
593,JEFFRIES H. J.,Jeffries,H. J.
594,LINDSAY R.,Lindsay,R.
595,MATHERS T. W.,Mathers,T. W.
596,GALLOP E. R. C.,Gallop,E. R. C.
597,HEDGER S. W.,Hedger,S. W.
598,JENNINGS C. R. E.,Jennings,C. R. E.
599,LINDSAY T. F.,Lindsay,T. F.
600,MATHERS W. H.,Mathers,W. H.
601,GARD J. C. S.,Gard,J. C. S.
602,HEMPTON L. J.,Hempton,L. J.
603,JOEL J.,Joel,J.
604,LINDSELL C. F.,Lindsell,C. F.
605,MAYNARD C. R.,Maynard,C. R.
606,GARD K. R.,Gard,K. R.
607,HENDERSON D. C.,Henderson,D. C.
608,JOHNSON A. A.,Johnson,A. A.
609,LIPPETT J. R.,Lippett,J. R.
610,MEILLON T. B.,Meillon,T. B.
611,GARNSEY F.,Garnsey,F.
612,HENDERSON F. R.,Henderson,F. R.
613,JOHNSON J. W.,Johnson,J. W.
614,LIPSCOMB V. B.,Lipscomb,V. B.
615,MERRETT E. W.,Merrett,E. W.
616,GATES A. E.,Gates,A. E.
617,HENDERSON R. G.,Henderson,R. G.
618,JOHNSON K. O. E.,Johnson,K. O. E.
619,LIPSCOMB V. M.,Lipscomb,V. M.
620,MERRETT F. S. E.,Merrett,F. S. E.
621,GELDING E. C.,Gelding,E. C.
622,HENDERSON W. F.,Henderson,W. F.
623,JOHNSON S.,Johnson,S.
624,LITTLER J.,Littler,J.
625,MIDDENWAY G. H.,Middenway,G. H.
626,GELL C. F. K.,Gell,C. F. K.
627,HERBERT D. P.,Herbert,D. P.
628,JOHNSTON C. D.,Johnston,C. D.
629,LIVINGSTON J. S.,Livingston,J. S.
630,MIDDLECOAT R. T.,Middlecoat,R. T.
631,GENET H. A.,Genet,H. A.
632,HERBERT J. E.,Herbert,J. E.
633,JOHNSTON E. S.,Johnston,E. S.
634,LODER F. K.,Loder,F. K.
635,MILLER H.,Miller,H.
636,GERRETT H. B.,Gerrett,H. B.
637,HIGGINS J. S.,Higgins,J. S.
638,JOHNSTON E. S.,Johnston,E. S.
639,LOUCHRY J. V.,Louchry,J. V.
640,MILLER R. B.,Miller,R. B.
641,GIDDEY J. C. A.,Giddey,J. C. A.
642,HILDER L. H.,Hilder,L. H.
643,JONES C. H.,Jones,C. H.
644,LUTTRELL D.,Luttrell,D.
645,MINICH R. A.,Minich,R. A.
646,GIDDEY W. J.,Giddey,W. J.
647,HILL A. H.,Hill,A. H.
648,JONES F. J.,Jones,F. J.
649,MACALPINE R. A.,Macalpine,R. A.
650,MITCHELL H. A.,Mitchell,H. A.
651,GILDEA W. G.,Gildea,W. G.
652,HILL C. C.,Hill,C. C.
653,JONES H. W.,Jones,H. W.
654,MACDONALD D. P.,Macdonald,D. P.
655,MITCHELL L. I.,Mitchell,L. I.
656,GILLIES K.,Gillies,K.
657,HILL G. A.,Hill,G. A.
658,.JONES L.,.Jones,L.
659,MACFARLANE C. P.,Macfarlane,C. P.
660,MITCHELL R. H.,Mitchell,R. H.
661,GILLMORE H. A.,Gillmore,H. A.
662,HILL R. G. W.,Hill,R. G. W.
663,JONES S. H. J.,Jones,S. H. J.
664,MACK R. P.,Mack,R. P.
665,MITCHELLHILL D. S.,Mitchellhill,D. S.
666,GILLMORE S.,Gillmore,S.
667,HILL T. J.,Hill,T. J.
668,JONES W. B.,Jones,W. B.
669,MACKENZIE G. STC.,Mackenzie,G. STC.
670,MOORS M. C.,Moors,M. C.
671,GODBOLD H,Godbold,H
672,HILLS E. B.,Hills,E. B.
